tau,theta,MVI,Deli,AcorAr,MG
455,181,0.999981668,0.999977956,4329.209163,34.10180275
155,181,0.999982636,0.999978989,14369.15596,68.09989471
505,41,0.999848834,0.999848355,188.7224454,26.95774936
155,181,0.99998902,0.999984262,14285.01308,68.09989471
405,1,0.993892787,0.993641948,1.584990129,39.4970331
155,81,0.999956362,0.999954876,2639.801359,39.66876315
655,81,0.999937598,0.999937056,604.2554784,26.51542568
255,1,0.993799895,0.993557794,0.723344183,37.9722011
205,181,0.999982478,0.999978992,11070.02863,57.03389978
455,81,0.999938242,0.99993807,784.4145311,27.04667566
205,161,0.999979608,0.999978493,8772.590364,52.4540299
355,1,0.984142112,0.984132436,12.69796016,39.07354988
55,81,0.999975174,0.999964725,9186.038268,75.42505606
505,1,0.984624512,0.98461429,14.57860342,40.18441111
605,61,0.999886926,0.999886902,287.0282195,26.6205658
205,1,0.978779052,0.978773839,10.9067407,37.20850777
305,21,0.999700774,0.99970038,64.73976556,27.33416948
605,121,0.999964757,0.999964249,1686.282673,27.47321513
255,161,0.999977986,0.999977379,7026.210439,44.9112807
305,141,0.999973883,0.999973259,4462.161654,36.89686363
105,121,0.999977318,0.999974683,10101.31233,67.61071323
505,21,0.99969963,0.99969951,56.43062114,28.91337572
255,61,0.999916808,0.999908451,698.3995483,28.44463953
655,121,0.999971752,0.999966402,1605.538522,27.16650452
55,41,0.999928285,0.999924415,2312.639345,50.5171033
255,181,0.999980766,0.999979066,8689.277569,48.76987543
255,1,0.978894339,0.978889054,11.94603976,37.9722011
455,41,0.999847907,0.999847777,195.0071256,26.7703314
605,181,0.999973341,0.999973191,2881.521325,30.31953717
405,81,0.999937524,0.999935238,884.7929847,27.47321513
5,1,0.978673884,0.978668897,9.21200153,27.47321513
105,41,0.999886051,0.999885093,871.7870735,33.79806112
605,161,0.999971046,0.999968641,3392.804435,29.23574705
255,101,0.999973833,0.999969391,2301.685974,34.03005425
255,81,0.999944455,0.999944207,1396.225753,30.97108643
555,61,0.999887852,0.999887378,302.4279202,26.54758314
455,161,0.999972537,0.999971833,4220.357797,32.32930726
555,141,0.999967098,0.999966963,3102.438342,28.86998276
555,21,0.999709353,0.999708876,67.5506198,29.25681847
605,141,0.99996659,0.999966341,3015.26398,28.27670525
605,61,0.999887294,0.999885185,281.6167573,26.6205658
655,181,0.999972888,0.999972622,2568.351927,29.55865137
155,81,0.999968824,0.999959453,2651.924287,39.66876315
355,121,0.999978387,0.999972242,2358.715591,31.82994294
305,101,0.999971579,0.999969973,1741.306127,31.46570468
355,21,0.999693842,0.999693736,54.61326733,27.75233043
605,1,0.979369371,0.979363778,16.04265862,40.72714723
405,1,0.980204239,0.98019797,13.99360975,39.4970331
205,101,0.999983875,0.999974804,3088.661352,38.27772444
605,81,0.999937505,0.999936965,638.6038219,26.54337605
405,121,0.999968961,0.999968258,2108.686464,30.30549204
405,41,0.999848148,0.99984802,209.6499527,26.61629286
405,41,0.999844257,0.999844236,197.4747446,26.61629286
155,121,0.999979609,0.999976548,6514.012203,52.22633962
355,161,0.999974817,0.999974306,5154.419111,36.50506698
455,61,0.999888718,0.999886583,352.4295324,26.54422965
155,41,0.999866199,0.999865584,508.9165891,29.18626331
605,41,0.999848262,0.999848125,170.4464044,27.37494627
405,81,0.999938798,0.99993862,868.9383722,27.47321513
355,81,0.999951822,0.999944397,970.6347813,28.14718233
555,161,0.999971152,0.999969895,3637.189273,30.01069176
605,161,0.999970108,0.999969564,3397.172938,29.23574705
105,101,0.99997565,0.99996934,7227.140088,60.49829661
55,61,0.999957382,0.999955064,5404.634904,66.16343944
205,61,0.999907243,0.999906523,883.2403666,30.26413302
505,81,0.999949442,0.999942229,702.8227705,26.78130181
255,61,0.999899724,0.999899124,665.1512738,28.44463953
505,101,0.999965673,0.999965238,859.8652599,27.47321513
105,21,0.999698213,0.999698174,193.1425508,27.47321513
405,41,0.999846534,0.999846487,203.8122493,26.61629286
555,21,0.999689006,0.99968896,61.26350279,29.25681847
205,101,0.999975777,0.999970826,3117.361487,38.27772444
205,1,0.978180578,0.978176208,10.9652387,37.20850777
455,1,0.984481425,0.984471369,14.01876971,39.8630296
555,101,0.999964576,0.999964401,747.9098723,27.11621737
555,141,0.999969033,0.999966277,3163.028565,28.86998276
305,21,0.999692221,0.999692119,59.45062734,27.33416948
655,21,0.999716128,0.999712811,80.48507378,29.88184775
255,21,0.99969989,0.99969951,73.95831912,26.92963193
255,1,0.978496879,0.978492053,11.98878416,37.9722011
255,141,0.999977613,0.99997358,5332.474621,41.10736212
605,21,0.99976425,0.999740129,50.0267655,29.57913828
455,21,0.999705772,0.999705328,59.36919796,28.54770729
355,21,0.999755065,0.999731614,54.52552837,27.75233043
655,1,0.993979004,0.993719774,2.575599409,40.96008058
405,161,0.999973682,0.999972874,4631.393629,34.09049771
555,21,0.999762487,0.999738496,50.09100565,29.25681847
505,1,0.993933684,0.993678907,2.021499553,40.18441111
405,61,0.999890138,0.999890083,399.401354,26.66868379
255,161,0.999979251,0.999975684,7153.613436,44.9112807
605,41,0.999849185,0.999848689,175.8019735,27.37494627
355,81,0.999939346,0.999938743,996.73591,28.14718233
405,41,0.999849258,0.999846752,227.5652443,26.61629286
55,81,0.999961748,0.999955449,9238.760957,75.42505606
355,101,0.999978074,0.999970117,1382.036872,29.8248699
455,181,0.999976122,0.999974666,4403.874229,34.10180275
105,41,0.99988558,0.999881392,865.6903223,33.79806112
5,1,0.98155601,0.981548986,9.023017912,27.47321513
655,181,0.999973216,0.999972073,2608.424639,29.55865137
655,41,0.999846993,0.999846942,161.6364354,27.58957249
355,121,0.999970278,0.999970076,2320.60251,31.82994294
355,41,0.999876796,0.999864415,358.3373177,26.52400128
155,61,0.999919895,0.999919834,1399.827203,33.92505637
55,1,0.978171271,0.978166426,5.177594439,32.13654058
205,21,0.999752795,0.999729536,75.16225932,26.60425075
205,141,0.999978087,0.999977078,6564.636533,47.68750787
255,41,0.999853254,0.999850681,310.900573,26.78631423
255,21,0.999677067,0.999677031,70.27455861,26.92963193
605,61,0.999887424,0.999887371,286.8613612,26.6205658
405,121,0.999968703,0.999968377,2086.849043,30.30549204
505,121,0.999965971,0.999965843,1787.257507,28.45540266
405,81,0.999938363,0.999937791,882.0820313,27.47321513
455,161,0.999972308,0.999971957,4196.473914,32.32930726
105,101,0.999975638,0.999972661,7191.402686,60.49829661
555,161,0.999975942,0.999972059,3542.275221,30.01069176
505,121,0.999974086,0.999968481,1805.069357,28.45540266
355,1,0.993867302,0.993618887,1.322779565,39.07354988
105,81,0.999965039,0.999958939,4462.540671,51.78060279
505,1,0.979268263,0.979262737,15.07808277,40.18441111
155,81,0.999955707,0.999951594,2639.658276,39.66876315
505,141,0.999968439,0.999967819,3281.330555,29.65142881
455,181,0.999976365,0.9999739,4401.01088,34.10180275
655,141,0.999966813,0.999965614,2961.873986,27.82249898
305,41,0.999849965,0.999849837,258.7611194,26.54595802
55,1,0.993441661,0.993232404,-0.92495315,32.13654058
155,101,0.999976925,0.999976099,4453.295212,45.90599727
305,61,0.999895101,0.99989456,535.7171191,27.47321513
105,41,0.999884921,0.999884813,909.2585326,33.79806112
255,161,0.99998418,0.999979332,7112.928861,44.9112807
505,181,0.999975431,0.999973072,3821.767399,32.50769878
455,21,0.999697674,0.999697559,53.43111309,28.54770729
155,21,0.999681794,0.999681759,117.1742237,26.5512998
155,121,0.999979852,0.999975538,6540.886608,52.22633962
655,121,0.999964581,0.999963369,1658.354372,27.16650452
555,101,0.999965154,0.999964005,792.3457653,27.11621737
55,81,0.999961693,0.999956341,9224.92921,75.42505606
305,61,0.999895216,0.999895054,539.8882952,27.47321513
455,121,0.999968673,0.999965405,1970.193952,29.23011335
155,61,0.999920121,0.99991999,1387.15355,33.92505637
605,121,0.999972382,0.999966965,1655.235184,27.47321513
305,41,0.999878258,0.999865778,380.7706534,26.54595802
355,61,0.999892263,0.999892112,455.4030936,26.9449749
555,121,0.999966635,0.999963592,1769.266442,27.88956277
605,121,0.999964295,0.999964184,1646.354115,27.47321513
455,121,0.999967983,0.999966514,1962.53564,29.23011335
305,121,0.999980479,0.999974029,2767.211036,34.05679297
455,141,0.999978304,0.999973319,3416.46587,30.69381312
55,21,0.999771137,0.999770925,493.3086893,33.44319652
105,121,0.999977638,0.999972745,10162.54609,67.61071323
405,181,0.999976792,0.999976321,5052.075865,36.21221828
305,1,0.978990667,0.97898532,12.7267551,38.57872468
355,81,0.999939967,0.999939893,972.039699,28.14718233
155,41,0.999862578,0.999862549,535.0199136,29.18626331
455,161,0.99997791,0.999973832,4158.95341,32.32930726
155,21,0.999756595,0.999733097,97.94952245,26.5512998
555,181,0.99997967,0.999976165,3261.93566,31.27999821
405,21,0.999703968,0.99970354,58.26880755,28.15981123
205,101,0.999975631,0.999973313,3099.563365,38.27772444
205,161,0.999979924,0.999977599,8828.826459,52.4540299
205,121,0.99997771,0.999976561,4505.665995,42.90404963
355,181,0.999977877,0.999977542,5900.799076,39.07305676
405,161,0.99997405,0.999972458,4651.406126,34.09049771
605,181,0.999978862,0.999975435,2853.863984,30.31953717
255,61,0.99989926,0.999896756,662.3273983,28.44463953
655,61,0.999887547,0.999887071,271.1724708,26.72043654
655,101,0.999963072,0.999962994,611.3648342,26.70681263
505,21,0.999760658,0.999736799,50.43350488,28.91337572
505,61,0.999888303,0.999887828,325.0616812,26.51511334
555,41,0.999848029,0.999847895,176.2613603,27.16244246
205,181,0.999981828,0.999979506,10974.26715,57.03389978
255,1,0.983694427,0.983685228,10.97553423,37.9722011
105,81,0.999965724,0.999965319,4527.931456,51.78060279
505,161,0.999972534,0.999969971,3898.116062,31.01316862
555,61,0.999887168,0.999887144,305.130448,26.54758314
505,101,0.99996526,0.999965173,816.4313815,27.47321513
655,161,0.999969149,0.999969026,3158.985811,28.62991968
555,61,0.999887521,0.999885411,299.3860318,26.54758314
155,101,0.999977052,0.999971422,4510.368952,45.90599727
355,41,0.999849854,0.999847354,245.8430231,26.52400128
155,1,0.979513377,0.97950757,9.427398633,36.19230265
155,1,0.978065546,0.978061243,9.640868705,36.19230265
255,141,0.99997587,0.999975332,5223.344899,41.10736212
655,1,0.978686852,0.978682159,16.45293203,40.96008058
555,81,0.999937877,0.999937847,646.9490456,26.62465765
505,161,0.999971579,0.999970946,3892.79854,31.01316862
205,1,0.978397261,0.978392496,10.9487566,37.20850777
655,21,0.99971272,0.999712212,76.40121765,29.88184775
355,121,0.999971105,0.999969299,2384.086767,31.82994294
305,101,0.99997188,0.999967802,1778.425761,31.46570468
305,81,0.999940207,0.999937708,1162.775803,29.21894939
605,81,0.999937948,0.999937884,615.9334645,26.54337605
655,121,0.999963872,0.999963656,1619.659518,27.16650452
655,81,0.999936867,0.999934654,601.8959489,26.51542568
305,21,0.99975347,0.999730138,58.01163765,27.33416948
355,161,0.999975037,0.999974076,5184.5831,36.50506698
305,1,0.993836972,0.993591413,1.028091702,38.57872468
205,61,0.999907322,0.999907235,914.5962226,30.26413302
355,41,0.999847148,0.999847101,223.7370872,26.52400128
605,101,0.999972624,0.999965461,659.0140589,26.87101737
255,101,0.999981875,0.99997323,2265.130619,34.03005425
505,81,0.999937569,0.999937024,731.8016928,26.78130181
305,41,0.999848384,0.999848337,252.9687186,26.54595802
605,81,0.99993786,0.999937693,627.5458891,26.54337605
405,21,0.999756888,0.999733304,52.42591876,28.15981123
655,81,0.999949074,0.999941893,575.735723,26.51542568
655,61,0.999904381,0.999896801,294.7459863,26.72043654
55,41,0.999928346,0.999927676,2390.801188,50.5171033
205,21,0.999677408,0.999677373,86.03784251,26.60425075
155,161,0.999980463,0.999977632,11634.67588,63.59455162
255,121,0.999982896,0.999976049,3432.615476,37.44761999
455,1,0.980291853,0.980285524,14.55842901,39.8630296
655,81,0.999938011,0.999937947,582.2272881,26.51542568
405,121,0.999970063,0.999966622,2140.328337,30.30549204
655,41,0.999876222,0.999863867,321.7507547,27.58957249
455,101,0.999966717,0.999966258,978.6567046,27.98819554
105,81,0.999977026,0.999966262,4429.107688,51.78060279
655,181,0.999972786,0.999972648,2541.508697,29.55865137
105,81,0.999965596,0.999964073,4537.843554,51.78060279
555,121,0.999965047,0.999964929,1706.156084,27.88956277
555,161,0.999970779,0.999970196,3623.595373,30.01069176
605,21,0.999691087,0.99969104,66.50024119,29.57913828
505,161,0.999976843,0.999972873,3820.222935,31.01316862
255,81,0.99995685,0.999948938,1394.11039,30.97108643
105,81,0.999965387,0.99996223,4516.685392,51.78060279
655,141,0.999965813,0.999965695,2901.276197,27.82249898
105,21,0.999718621,0.999718205,193.058446,27.47321513
305,141,0.999974628,0.999972447,4516.410123,36.89686363
405,1,0.984321996,0.984312121,13.39642422,39.4970331
455,81,0.999937007,0.999934765,798.8811451,27.04667566
205,21,0.999691674,0.999691579,84.89635343,26.60425075
355,141,0.999972297,0.999971367,4001.785075,34.07601431
305,41,0.99984615,0.999846129,247.8024077,26.54595802
205,21,0.999704499,0.999701893,102.00591,26.60425075
205,1,0.983403491,0.983394587,9.881811654,37.20850777
255,181,0.999987228,0.999982782,8739.946326,48.76987543
305,1,0.978580028,0.97857515,12.71819537,38.57872468
55,41,0.999953653,0.999932671,2122.803986,50.5171033
405,61,0.999907007,0.999899274,429.2304366,26.66868379
505,121,0.999966423,0.999965851,1827.613945,28.45540266
255,21,0.999703975,0.999701315,87.53000034,26.92963193
405,61,0.999889917,0.999887749,393.2197064,26.66868379
555,101,0.999973342,0.999966085,731.8499711,27.11621737
655,181,0.999973352,0.999971203,2589.46063,29.55865137
655,1,0.980569711,0.980563185,16.40414797,40.96008058
505,81,0.99993801,0.99993798,697.6827281,26.78130181
105,141,0.999978708,0.999973886,13218.78346,72.81828741
405,21,0.999695716,0.999695606,52.83530047,28.15981123
55,61,0.999957491,0.999952023,5408.518529,66.16343944
605,101,0.999963862,0.999963693,680.8959912,26.87101737
555,181,0.999973991,0.999973826,3281.024732,31.27999821
605,161,0.999969874,0.999969615,3375.106714,29.23574705
105,21,0.999770543,0.999746083,156.0746383,27.47321513
155,21,0.99970837,0.999705749,130.5338169,26.5512998
455,81,0.999938319,0.999938289,762.1273855,27.04667566
655,81,0.999937912,0.999937883,572.4144643,26.51542568
555,41,0.999875704,0.999863387,328.4556839,27.16244246
505,61,0.999887965,0.999885848,322.2792611,26.51511334
355,161,0.999975401,0.999973601,5213.489569,36.50506698
355,1,0.978651334,0.978646411,13.37628313,39.07354988
605,21,0.999672416,0.999672394,67.7638071,29.57913828
505,41,0.999848992,0.999846442,206.0281075,26.95774936
105,61,0.999941049,0.999940889,2467.215765,42.45399514
555,41,0.999844184,0.999844162,164.839995,27.16244246
305,121,0.999973855,0.999969854,2799.603018,34.05679297
155,161,0.999980938,0.999977102,11697.9109,63.59455162
105,21,0.999678256,0.999678237,197.0677311,27.47321513
305,141,0.999973708,0.999973362,4439.869984,36.89686363
555,81,0.999937856,0.999937689,668.7712486,26.62465765
205,41,0.999856628,0.999856485,375.6010804,27.47321513
555,1,0.980442742,0.980436307,15.56414731,40.47024549
405,161,0.999973456,0.999973043,4606.563351,34.09049771
455,21,0.9996646,0.99966458,57.55726626,28.54770729
205,141,0.99997824,0.999976686,6585.943651,47.68750787
655,181,0.999978161,0.999974798,2506.772953,29.55865137
655,101,0.99996388,0.999962779,667.7021175,26.70681263
605,1,0.978651549,0.978646879,16.02178364,40.72714723
105,61,0.999941149,0.999940819,2467.881296,42.45399514
305,41,0.999850891,0.999850424,261.4293441,26.54595802
355,141,0.999972782,0.999970925,4026.924931,34.07601431
155,21,0.999659631,0.999659615,120.5569681,26.5512998
655,61,0.999886846,0.999886822,272.716649,26.72043654
405,181,0.999977445,0.999974847,5110.195958,36.21221828
55,1,0.98180002,0.981792573,4.418669057,32.13654058
455,181,0.999975648,0.999975432,4325.616311,34.10180275
305,161,0.999976394,0.999975716,5927.173875,39.91754646
105,101,0.999975603,0.999974401,7164.890619,60.49829661
405,41,0.999849096,0.99984863,213.537222,26.61629286
55,41,0.999928029,0.9999277,2409.810418,50.5171033
605,21,0.999714553,0.999711312,78.09034168,29.57913828
355,101,0.999969791,0.999968355,1404.469072,29.8248699
305,121,0.999973208,0.999971098,2783.21165,34.05679297
505,1,0.978571382,0.978566766,15.06963357,40.18441111
105,141,0.999978044,0.999973486,13168.35592,72.81828741
355,161,0.999980644,0.999976264,5173.816551,36.50506698
605,1,0.984872864,0.984862346,15.55410563,40.72714723
305,21,0.999678314,0.999678277,61.42355887,27.33416948
155,81,0.999956981,0.999956865,2641.481789,39.66876315
205,1,0.979707317,0.979701384,10.74161393,37.20850777
155,141,0.999979839,0.999976225,9007.772222,58.23593864
455,121,0.999967557,0.999966932,1941.876375,29.23011335
205,181,0.999982067,0.999979114,11018.60172,57.03389978
655,21,0.99969308,0.999693031,71.79128103,29.88184775
155,1,0.983037894,0.983029346,8.593799679,36.19230265
455,61,0.999905784,0.999898123,385.8883913,26.54422965
305,61,0.999895032,0.999894969,543.133019,27.47321513
255,41,0.999853141,0.999852661,303.3825422,26.78631423
155,41,0.999865547,0.999865374,519.0441979,29.18626331
205,181,0.999981681,0.999979948,10939.26444,57.03389978
655,81,0.999937935,0.999937768,593.6305648,26.51542568
105,61,0.999940903,0.999938857,2435.426681,42.45399514
205,81,0.999949286,0.999948954,1819.162388,33.99031634
355,41,0.999844882,0.99984486,217.8180049,26.52400128
505,121,0.999966157,0.999965898,1806.220134,28.45540266
605,121,0.999964486,0.99996426,1665.308401,27.47321513
105,61,0.999958944,0.999946459,2287.69569,42.45399514
655,161,0.999974531,0.999970777,3107.987149,28.62991968
605,141,0.999967392,0.999966148,3055.159794,28.27670525
405,41,0.999876026,0.999863695,345.8151144,26.61629286
305,61,0.999894682,0.999892355,533.6417831,27.47321513
255,141,0.999976297,0.999974705,5272.604967,41.10736212
205,61,0.999907427,0.999907203,899.983714,30.26413302
205,41,0.999885815,0.999872797,500.9304911,27.47321513
655,21,0.999765938,0.999741692,50.15609813,29.88184775
655,41,0.999848562,0.999848422,166.3102463,27.58957249
455,121,0.999967294,0.999967009,1920.267965,29.23011335
605,161,0.99997048,0.999969285,3409.413789,29.23574705
405,81,0.999938948,0.999938878,856.6228467,27.47321513
355,141,0.999971834,0.999971581,3953.981702,34.07601431
555,101,0.999964385,0.999964302,729.0734672,27.11621737
105,101,0.999984371,0.999975167,7198.25789,60.49829661
305,161,0.999976608,0.9999754,5958.313915,39.91754646
605,61,0.999887673,0.999887532,286.3597733,26.6205658
505,161,0.999971347,0.999971039,3869.663678,31.01316862
205,101,0.999975381,0.999975129,3022.009862,38.27772444
155,1,0.978635603,0.978630478,9.547351547,36.19230265
405,121,0.999968527,0.999968362,2067.948868,30.30549204
205,81,0.999949533,0.99994947,1806.657018,33.99031634
205,81,0.999948832,0.999947862,1827.089056,33.99031634
355,101,0.999969527,0.999968978,1369.306779,29.8248699
355,21,0.999659128,0.99965911,59.80876295,27.75233043
305,141,0.999974156,0.999972985,4488.545042,36.89686363
205,61,0.999906724,0.999903884,877.2891376,30.26413302
455,101,0.999966326,0.999966233,933.5094987,27.98819554
355,101,0.9999692,0.999969085,1324.784926,29.8248699
305,121,0.999972578,0.999972075,2737.458634,34.05679297
605,101,0.999963666,0.999963585,662.6403068,26.87101737
355,1,0.97907337,0.979067971,13.38057221,39.07354988
505,121,0.999966853,0.999965481,1847.477591,28.45540266
355,181,0.999978132,0.99997709,5959.98496,39.07305676
655,101,0.999964344,0.999961127,666.3453812,26.70681263
205,141,0.999987671,0.999981195,6656.706925,47.68750787
655,161,0.999970473,0.999968123,3195.355566,28.62991968
205,101,0.999975522,0.999974489,3066.408849,38.27772444
405,141,0.999972174,0.99996904,3710.670799,32.10893622
505,1,0.978818989,0.978813957,15.07279897,40.18441111
105,141,0.999988413,0.999981764,13166.79561,72.81828741
655,121,0.999963679,0.999963573,1600.718637,27.16650452
255,121,0.999975085,0.999974373,3390.03394,37.44761999
55,21,0.999824222,0.999795267,401.4954451,33.44319652
305,21,0.999704786,0.999702049,79.75690693,27.33416948
505,21,0.99970758,0.99970712,63.29345042,28.91337572
605,81,0.999936752,0.999934544,636.9924995,26.54337605
455,1,0.978525268,0.978520682,14.54479179,39.8630296
455,101,0.999966499,0.999966305,953.3159333,27.98819554
605,41,0.999875923,0.999863589,325.0219206,27.37494627
405,141,0.999979665,0.99997451,3656.530023,32.10893622
205,101,0.999975445,0.999974956,3040.21934,38.27772444
155,141,0.99997963,0.999976739,8982.366172,58.23593864
355,101,0.999970141,0.999966323,1432.225038,29.8248699
55,1,0.978880183,0.97887478,5.060532995,32.13654058
405,141,0.999971242,0.999969602,3702.158229,32.10893622
405,21,0.999682385,0.999682344,54.51506202,28.15981123
